Name,SMC Section,Height (ft),xcoord,ycoord
Meall Buidhe,2,3058,249838,749946
Ben Chonzie,1,3054,277324,730857
Beinn Bhreac,8,3054,305870,797075
A' Chailleach,9,3049,268110,804178
Blabheinn [Bla Bheinn],17,3048,152990,821743
Meall nan Eun,3,3045,219248,744903
Mayar,7,3045,324083,773748
Moruisg,12,3045,210114,849939
Beinn Narnain,1,3041,227168,706655
Eididh nan Clach Geala,15,3041,225788,884216
Ben Hope,16,3041,247750,950151
Sgurr nan Eag,17,3039,145705,819536
Geal Charn,9,3038,256144,798768
Beinn Liath Mhor,13,3038,196409,851982
Seana Bhraigh,15,3038,228181,887884
Meall a' Choire Leith,2,3037,261249,743882
Stob Coire Raineach (Buachaille Etive Beag) ,3,3033,219140,754796
Creag Pitridh,4,3031,248752,781459
An Coileachan,14,3031,224172,868024
Sgurr nan Each,14,3028,218464,869769
Tom na Gruagaich (Beinn Alligin),13,3025,185958,860153
Sgiath Chuil,2,3019,246290,731793
Carn Sgulain,9,3019,268302,805821
An Socach,11,3017,208816,822999
Gairich,10,3015,202589,799580
Ruadh Stac Mor,14,3014,201853,875655
A' Ghlas-bheinn,11,3012,200822,823104
Sgurr a' Mhadaidh,17,3012,144700,823512
Geal-charn,5,3009,259644,778261
Creag nan Damh,10,3009,198348,811202
Meall na Teanga,10,3008,222023,792471
Beinn a' Chleibh,1,3006,225054,725606
Ben Vane,1,3004,227753,709844
Carn Aosda,6,3003,313397,779164
Beinn Teallach,9,3001,236136,785973
